PSh_profile_pe	PSh_profile_vd	PSh_profile_both	logMstar	logfgas	t_leda	barsize_kpc
0	0		0.000000	9.564000	-0.455728	7.300000	1.796626
0	0		0.000000	9.373000	-0.488034	5.900000	1.766181
0	0		0.000000	9.545999	-0.147373	7.900000	1.218506
0	0		0.000000	9.298999	0.157083	7.000000	4.037977
0	0		0.000000	8.520000	0.430808	9.000000	0.859485
0	0		0.000000	8.771000	-0.049700	7.100000	2.019896
0	0		0.000000	8.322000	0.434185	8.900000	1.704293
0	0		0.000000	8.461999	1.017742	8.600000	0.000000
0	0		0.000000	8.646000	-0.047331	6.000000	1.262815
0	0		0.000000	9.291000	0.033446	7.000000	1.974588
0	0		0.000000	9.121001	-1.533036	9.300000	1.741295
0	0		0.000000	8.688000	-0.183836	8.000000	0.000000
0	0		0.000000	9.201001	-0.513079	5.000000	1.694119
0	0		0.000000	8.645001	0.286184	8.700000	0.000000
0	0		0.000000	9.150001	-0.643002	8.000000	0.000000
0	0		0.000000	9.575000	-0.390421	8.500000	2.944565
0	0		0.000000	9.148001	0.036414	8.200000	1.441756
0	0		0.000000	9.159001	-0.041393	8.900000	2.922205
0	0		0.000000	9.306999	-0.123032	7.800000	0.000000
0	1		0.000000	9.409999	-0.940481	6.100000	1.138586
0	0		0.000000	9.630000	-0.235794	8.000000	3.126676
0	0		0.000000	9.588000	-0.220622	6.100000	1.456949
1	1		1.000000	10.149000	-0.937544	6.200000	1.075613
0	0		0.000000	9.958999	-0.946180	3.300000	0.000000
0	0		0.000000	9.606000	-0.866659	3.700000	0.000000
0	0		0.000000	9.289999	-0.552825	5.500000	0.000000
0	0		0.000000	8.807999	-0.654743	8.500000	0.000000
0	0		0.000000	9.373000	-1.377792	9.800000	2.133547
1	1		1.000000	10.299999	-0.533861	5.100000	3.551324
1	1		1.000000	10.029002	-0.934463	5.600000	2.802593
1	1		1.000000	10.437000	-0.692290	3.100000	5.102245
0	0		0.000000	9.798000	-0.258965	4.100000	1.051548
1	1		1.000000	10.630999	-0.510612	4.000000	0.000000
0	0		0.000000	9.308001	0.186563	5.900000	0.000000
1	1		1.000000	10.320999	-0.655879	5.000000	3.299032
0	0		0.000000	9.793000	-0.395954	7.000000	5.880305
0	0		0.000000	9.493001	-0.170245	6.000000	2.340722
0	0		0.000000	9.853000	-0.513538	5.400000	2.058812
0	0		0.000000	10.156001	-0.802953	5.000000	0.000000
0	0		0.000000	10.109001	-0.995182	5.200000	0.000000
1	1		1.000000	10.441000	-1.680297	2.400000	0.062234
0	0		0.000000	9.680000	-0.565909	5.200000	0.000000
1	1		1.000000	10.186001	-1.690282	1.100000	0.000000
0	0		0.000000	9.268999	-0.236829	8.700000	3.344042
1	1		1.000000	11.240000	-1.283716	3.300000	0.000000
1	1		1.000000	10.428999	-0.899569	5.000000	0.000000
1	1		1.000000	10.291000	-0.829706	4.000000	1.949798
1	1		1.000000	10.764000	-1.804028	0.100000	0.000000
1	1		1.000000	10.561000	-1.497165	0.100000	0.000000
0	0		0.000000	9.442000	-0.231610	7.000000	1.905723
0	0		0.000000	8.894000	0.130440	8.800000	0.000000
0	0		0.000000	9.665000	-1.407051	1.400000	1.443773
0	0		0.000000	9.447000	-0.770542	5.000000	0.000000
1	1		1.000000	10.825000	-1.682954	1.900000	1.905264
1	1		1.000000	10.739000	-0.969179	1.100000	0.000000
0	0		0.000000	10.108000	-1.971679	2.100000	0.000000
0	0		0.000000	9.625001	-0.696268	6.000000	2.036285
1	1		1.000000	10.333000	-0.806803	1.200000	1.535939
0	0		0.000000	10.390000	-1.045077	5.900000	2.199414
1	1		1.000000	10.181000	-1.386758	3.000000	0.000000
1	1		1.000000	10.661000	-0.700489	3.300000	0.000000
0	0		0.000000	8.740000	-0.678161	8.000000	0.000000
1	1		1.000000	10.614999	-1.234060	1.200000	5.123344
0	0		0.000000	9.461000	-0.367921	8.600000	0.000000
0	0		0.000000	9.420000	-0.651582	7.000000	0.000000
1	1		1.000000	10.456000	-3.099285	0.400000	0.000000
1	1		1.000000	10.665000	-1.197160	4.000000	1.115466
1	1		1.000000	10.103999	-1.639219	0.600000	1.072016
1	1		1.000000	10.215000	-1.502552	1.200000	0.000000
1	1		1.000000	10.675000	-1.388212	1.500000	0.407512
0	0		0.000000	9.162000	0.345355	8.000000	0.000000
0	0		0.000000	9.884000	-1.036640	7.600000	2.218167
0	0		0.000000	9.729999	-0.176614	6.000000	0.000000
1	1		1.000000	9.740000	-0.709565	4.000000	1.809699
0	1		0.000000	10.258999	-0.277292	5.200000	2.066683
1	1		1.000000	9.961000	-1.508673	1.000000	1.630217
0	0		0.000000	9.433000	-0.017232	8.800000	0.853742
1	1		1.000000	9.944000	-0.532577	3.200000	0.000000
1	1		1.000000	10.176999	-0.566385	5.200000	1.477844
1	1		1.000000	10.404000	-1.718796	2.100000	2.142325
1	1		1.000000	10.809000	-1.806270	3.100000	0.000000
1	1		1.000000	10.505001	-1.294412	3.100000	2.042846
0	0		0.000000	10.272999	-0.710393	4.000000	0.931406
0	0		0.000000	10.181000	-0.567960	4.000000	1.688113
1	1		1.000000	10.477000	-0.869062	5.100000	2.748510
1	1		1.000000	10.232999	-0.833652	1.300000	0.750363
0	0		0.000000	9.184001	-0.427798	5.500000	0.000000
0	0		0.000000	9.621001	-0.449000	5.200000	1.234917
1	1		1.000000	10.987000	-1.596268	4.000000	2.871577
1	1		1.000000	11.103999	-1.203392	4.000000	0.000000
0	0		0.000000	8.836001	-0.624845	6.900000	1.847488
0	0		0.000000	9.719000	-2.133913	1.200000	0.000000
1	1		1.000000	10.553999	-1.593373	3.000000	0.000000
0	0		0.000000	9.979000	-0.428142	7.300000	0.000000
1	1		1.000000	10.293999	-0.651227	5.000000	0.000000
1	1		1.000000	9.764000	-1.902630	3.000000	0.000000
0	0		0.000000	10.178001	-0.632656	6.900000	0.000000
0	0		0.000000	8.755000	-0.179571	7.800000	2.828854
0	0		0.000000	9.075999	-0.469411	9.800000	2.330265
1	1		1.000000	10.417999	-2.823538	0.300000	0.000000
0	0		0.000000	9.771000	-0.331931	5.900000	1.293029
1	1		1.000000	10.857001	-1.210366	4.000000	0.000000
1	1		1.000000	10.140002	-3.192223	1.000000	2.029783
0	0		0.000000	10.228000	-1.571317	1.000000	2.470480
0	0		0.000000	9.844000	-1.326751	4.000000	0.000000
0	0		0.000000	10.239001	-2.046678	0.300000	0.000000
0	0		0.000000	9.929000	-1.625303	1.300000	0.000000
1	0		0.000000	9.278001	-0.750267	9.800000	1.892124
1	1		1.000000	10.718001	-2.238249	2.400000	3.224801
1	1		1.000000	10.576000	-2.082726	0.300000	0.000000
0	0		0.000000	10.130999	-0.688628	6.000000	2.853904
0	0		0.000000	9.838999	-0.553041	7.400000	0.000000
0	1		0.000000	9.741000	-0.883909	6.400000	2.332769
0	0		0.000000	9.447999	-0.843144	5.900000	0.000000
0	0		0.000000	9.717000	0.004412	9.700000	1.530299
0	0		0.000000	9.877000	-1.369806	6.200000	1.711204
0	0		0.000000	10.003999	-0.442192	6.000000	0.000000
1	1		1.000000	11.098000	-2.132866	2.800000	0.000000
1	1		1.000000	9.466000	-0.627979	8.600000	0.000000
0	0		0.000000	9.071001	-0.549598	8.700000	1.533233
1	1		1.000000	10.317001	-1.080038	3.600000	0.000000
0	1		0.000000	10.485000	-0.977152	5.900000	2.264043
0	0		0.000000	9.235000	-0.436191	7.500000	0.000000
0	0		0.000000	9.836000	-0.447087	6.800000	2.115266
1	1		1.000000	10.880999	-1.178986	2.200000	2.552405
0	0		0.000000	9.538000	-0.211153	1.900000	1.501660
0	0		0.000000	10.095002	-0.825427	7.000000	0.000000
0	0		0.000000	10.362000	-1.031538	5.100000	3.073554
1	1		1.000000	10.443000	-0.890658	4.000000	1.496077
0	0		0.000000	9.909001	-0.668741	5.000000	0.000000
0	0		0.000000	9.739000	-0.775332	6.000000	2.098479
1	1		1.000000	9.899000	-1.495249	2.900000	2.289584
1	1		1.000000	11.037000	-0.743206	5.000000	0.000000
0	0		0.000000	9.005999	-0.337526	6.000000	0.000000
0	0		0.000000	10.162000	-0.511631	6.000000	0.000000
0	1		0.000000	10.567000	-0.878871	4.000000	2.330683
1	1		1.000000	10.451000	-0.698829	4.000000	1.333803
0	0		0.000000	9.216999	-0.029382	6.400000	2.939227
0	0		0.000000	10.116999	-0.731088	5.200000	2.070919
1	1		1.000000	10.373000	-1.011704	5.800000	0.000000
0	0		0.000000	10.013999	-0.330828	6.000000	0.000000
1	1		1.000000	9.972999	-1.080284	3.200000	2.640759
1	0		0.000000	10.212001	-1.909105	3.200000	0.948136
1	1		1.000000	10.445000	-0.623812	4.000000	0.000000
1	1		1.000000	10.522999	-1.203896	2.400000	0.000000
1	1		1.000000	10.649000	-1.164037	2.100000	0.000000
0	0		0.000000	9.674000	-0.735517	9.400000	1.280247
0	0		0.000000	9.604000	0.233771	9.800000	1.820561
0	0		0.000000	9.059999	0.023384	2.000000	1.498482
0	0		0.000000	9.129999	0.038707	9.900000	0.000000
0	0		0.000000	8.705000	0.238701	9.900000	1.297570
0	0		0.000000	9.031000	-0.368723	9.100000	1.571333
0	0		0.000000	9.578000	-1.078345	8.900000	3.327135
