PSh_profile_pe	PSh_profile_vd	PSh_profile_both	logMstar	logVrot	t_leda	logfgas
0	0		0.000000	9.564000	1.988425	7.300000	-0.455728
0	0		0.000000	9.545999	1.978092	7.900000	-0.147373
0	0		0.000000	9.298999	1.944709	7.000000	0.157083
0	0		0.000000	8.520000	1.499276	9.000000	0.430808
0	0		0.000000	8.771000	1.771644	7.100000	-0.049700
0	0		0.000000	8.322000	1.716302	8.900000	0.434185
0	0		0.000000	8.461999	1.635959	8.600000	1.017742
0	0		0.000000	9.291000	1.856049	7.000000	0.033446
0	0		0.000000	9.121001	1.686236	9.300000	-1.533036
0	0		0.000000	9.201001	1.969438	5.000000	-0.513079
0	0		0.000000	8.645001	1.668597	8.700000	0.286184
0	0		0.000000	9.150001	1.865515	8.000000	-0.643002
0	0		0.000000	9.575000	2.007198	8.500000	-0.390421
0	0		0.000000	9.159001	1.902649	8.900000	-0.041393
0	0		0.000000	9.306999	1.923284	7.800000	-0.123032
0	1		0.000000	9.409999	1.843870	6.100000	-0.940481
0	0		0.000000	9.630000	2.063663	8.000000	-0.235794
0	0		0.000000	9.588000	1.991622	6.100000	-0.220622
1	1		1.000000	10.149000	2.051659	6.200000	-0.937544
0	0		0.000000	9.958999	2.078456	3.300000	-0.946180
0	0		0.000000	9.606000	1.933640	3.700000	-0.866659
0	0		0.000000	9.289999	1.899055	5.500000	-0.552825
0	0		0.000000	8.807999	1.567982	8.500000	-0.654743
0	0		0.000000	9.373000	1.743617	9.800000	-1.377792
1	1		1.000000	10.299999	2.118266	5.100000	-0.533861
1	1		1.000000	10.029002	2.098895	5.600000	-0.934463
1	1		1.000000	10.437000	2.213299	3.100000	-0.692290
1	1		1.000000	10.630999	2.225860	4.000000	-0.510612
0	0		0.000000	9.308001	2.018493	5.900000	0.186563
1	1		1.000000	10.320999	2.139497	5.000000	-0.655879
0	0		0.000000	9.493001	2.014301	6.000000	-0.170245
0	0		0.000000	9.853000	2.057072	5.400000	-0.513538
0	0		0.000000	10.156001	2.090058	5.000000	-0.802953
0	0		0.000000	10.109001	2.143144	5.200000	-0.995182
0	0		0.000000	9.268999	2.023205	8.700000	-0.236829
1	1		1.000000	11.240000	2.374862	3.300000	-1.283716
1	1		1.000000	10.428999	2.248968	5.000000	-0.899569
1	1		1.000000	10.291000	2.130189	4.000000	-0.829706
0	0		0.000000	8.894000	1.705047	8.800000	0.130440
1	1		1.000000	10.825000	2.319248	1.900000	-1.682954
1	1		1.000000	10.739000	2.391683	1.100000	-0.969179
0	0		0.000000	10.108000	2.144899	2.100000	-1.971679
1	1		1.000000	10.333000	2.201453	1.200000	-0.806803
0	0		0.000000	10.390000	2.155156	5.900000	-1.045077
